"School
Code",Boro Number,Boro,School,School Name,"Galaxy
FY11 Loc
Code",Status,Dist,"Poverty
Percentage","County
Cutoff","T1-1
NT1=0","Audited
Register","Proj_Regs
for New
Schools","Proj Regs for
Restruct &
Phase-Ins
Grades","Poverty
Count","T1 School
Poverty
Count","Students
in Temp
Housing","Title I
Eligible
Pupils","Additional
Title I
Eligibles
Phase-IN",USM,"OAG
Audit","for NYC
overal
count","Expalnation of Title I
School Designation","Weighted
T1 Count
(including
phase-in)","FY11
Entitlement",Title I ARRA,"Title I Basic
Allocation","Total Minimum
Parent (1%)
Involvement
Commitment",SWP?
101378,1,M,378,SCHOOL FOR GLOBAL LEADERS,01M378,Open,1,80.4,40.00%,1,163,0,60,131,131,8,131,48,UC,,131,TitleI:no chng,179,"$218,680 ","43,483","175,197","$2,187 ",SWP
101448,1,M,448,UNIVERSITY NEIGHBORHOOD HIGH SCH 01M448,,Open,1,76.3,40.00%,1,515,0,0,393,393,33,393,0,,,393,TitleI:no chng,393,"$480,118 ","144,942","335,176","$4,801 ",SWP
101450,1,M,450,EAST SIDE COMMUNITY SCHOOL,01M450,Open,1,82.2,40.00%,1,557,0,0,458,458,11,458,0,,,458,TitleI:no chng,458,"$559,527 ","179,728","379,799","$5,595 ",SWP
101509,1,M,509,MARTA VALLE HIGH SCHOOL,01M509,Open,1,91,40.00%,1,346,0,0,315,315,12,315,0,,,315,TitleI:no chng,315,"$384,828 ","89,864","294,964","$3,848 ",SWP
101515,1,M,515,LOWER EAST SIDE PREPARATORY HIGH 01M515,,Open,1,95.5,40.00%,1,550,0,0,525,525,79,525,0,UU,,525,TitleI:no chng,525,"$641,379 ","292,783","348,596","$6,414 ",SWP
101539,1,M,539,"NEW EXPLORATIONS INTO SCIENCE, TE 01M539",,Open,1,24.4,40.00%,0,"1,479",0,0,361,0,6,6,0,,,6,Non-T1:STH only:no chng,6,"$7,330 ",0,"7,330",$73 ,
101650,1,M,650,CASCADES HIGH SCHOOL,01M650,Open,1,81.3,40.00%,1,224,0,0,182,182,10,182,0,,,182,TitleI:no chng,182,"$222,345 ","63,774","158,571","$2,223 ",SWP
101696,1,M,696,BARD HIGH SCHOOL EARLY COLLEGE,01M696,Open,1,22.6,40.00%,0,584,0,0,132,0,2,2,0,,,2,Non-T1:STH only:no chng,2,"$2,443 ",0,"2,443",$24 ,
101839,1,M,839,TOMPKINS SQUARE MIDDLE SCHOOL,01M839,Open,1,72.6,40.00%,1,380,0,0,276,276,6,276,0,UU,,276,TitleI:no chng,276,"$337,182 ","136,245","200,937","$3,372 ",SWP
102001,1,M,1,P.S. 001 ALFRED E. SMITH,02M001,Open,2,86.4,40.00%,1,491,0,0,424,424,6,424,0,,,424,TitleI:no chng,424,"$517,990 ","144,942","373,048","$5,180 ",SWP
102002,1,M,2,P.S. 002 MEYER LONDON,02M002,Open,2,95.9,40.00%,1,763,0,0,732,732,302,732,0,,,732,TitleI:no chng,732,"$894,266 ","107,257","787,009","$8,943 ",SWP
102003,1,M,3,P.S. 003 CHARRETTE SCHOOL,02M003,Open,2,14.7,40.00%,0,625,0,0,92,0,1,1,0,,,1,Non-T1:STH only:no chng,1,"$1,222 ",0,"1,222",$12 ,Target
102006,1,M,6,P.S. 006 LILLIE D. BLAKE,02M006,Open,2,9.7,40.00%,0,793,0,0,77,0,7,7,0,,,7,Non-T1:STH only:no chng,7,"$8,552 ",0,"8,552",$86 ,
102011,1,M,11,P.S. 011 WILLIAM T. HARRIS,02M011,Open,2,68.2,40.00%,1,553,0,0,377,377,5,377,0,UU,,377,TitleI:no chng,377,"$460,572 ","110,156","350,416","$4,606 ",SWP
102033,1,M,33,P.S. 033 CHELSEA PREP,02M033,Open,2,83.1,40.00%,1,320,0,0,266,266,20,266,0,,,266,TitleI:no chng,266,"$324,966 ","78,269","246,697","$3,250 ",SWP
102040,1,M,40,P.S. 040 AUGUSTUS SAINT-GAUDENS,02M040,Open,2,14.7,40.00%,0,546,0,0,80,0,11,11,0,,,11,Non-T1:STH only:no chng,11,"$13,438 ",0,"13,438",$134 ,
102041,1,M,41,P.S. 041 GREENWICH VILLAGE,02M041,Open,2,8.9,40.00%,0,754,0,0,67,0,0,0,0,,,0,Non-T1:STH only:no chng,0,$0 ,0,0,$0 ,
102042,1,M,42,P.S. 042 BENJAMIN ALTMAN,02M042,Open,2,94.3,40.00%,1,763,0,0,720,720,1,720,0,UU,,720,TitleI:no chng,720,"$879,606 ","139,144","740,462","$8,796 ",SWP
102047,1,M,47,47 THE AMERICAN SIGN LANGUAGE AN 02M047,,Open,2,78.3,40.00%,1,157,0,0,123,123,2,123,0,,,123,TitleI:no chng,123,"$150,266 ","34,786","115,480","$1,503 ",Target
102051,1,M,51,P.S. 051 ELIAS HOWE,02M051,Open,2,80.7,40.00%,1,289,0,0,233,233,43,233,0,UU,,233,TitleI:no chng,233,"$284,650 ","124,650","160,000","$2,847 ",SWP
102059,1,M,59,P.S. 059 BEEKMAN HILL INTERNATIONA 02M059,,Open,2,25.2,40.00%,0,480,0,0,121,0,10,10,0,,,10,Non-T1:STH only:no chng,10,"$12,217 ",0,"12,217",$122 ,
102077,1,M,77,P.S. 77 LOWER LAB SCHOOL,02M077,Open,2,7.3,40.00%,0,354,0,0,26,0,0,0,0,,,0,Non-T1:STH only:no chng,0,$0 ,0,0,$0 ,
102089,1,M,89,P.S. 89,02M089,Open,2,10.2,40.00%,0,512,0,0,52,0,2,2,0,,,2,Non-T1:STH only:no chng,2,"$2,443 ",0,"2,443",$24 ,
102104,1,M,104,J.H.S. 104 SIMON BARUCH,02M104,Open,2,64.5,40.00%,1,994,0,0,641,641,39,641,0,,,641,TitleI:no chng,641,"$783,094 ","783,094",0,"$7,831 ",SWP
102111,1,M,111,P.S. 111 ADOLPH S. OCHS,02M111,Open,2,75.8,40.00%,1,552,0,0,418,418,33,418,0,UU,,418,TitleI:no chng,418,"$510,660 ","173,930","336,730","$5,107 ",SWP
102114,1,M,114,EAST SIDE MIDDLE SCHOOL,02M114,Open,2,9.8,40.00%,0,387,0,0,38,0,0,0,0,,,0,Non-T1:STH only:no chng,0,$0 ,0,0,$0 ,
102116,1,M,116,P.S. 116 MARY LINDLEY MURRAY,02M116,Open,2,29.9,40.00%,0,788,0,0,236,0,15,15,0,,,15,Non-T1:STH only:no chng,15,"$18,325 ",0,"18,325",$183 ,Target
102124,1,M,124,P.S. 124 YUNG WING,02M124,Open,2,81.1,40.00%,1,926,0,0,751,751,23,751,0,UU,,751,TitleI:no chng,751,"$917,478 ","544,981","372,497","$9,175 ",SWP
102126,1,M,126,P.S. 126 JACOB AUGUST RIIS,02M126,Open,2,76.1,40.00%,1,735,0,0,559,559,8,559,0,,,559,TitleI:no chng,559,"$682,916 ","150,740","532,176","$6,829 ",SWP
102130,1,M,130,P.S. 130 HERNANDO DE SOTO,02M130,Open,2,82,40.00%,1,"1,001",0,0,821,821,15,821,0,UU,,821,TitleI:no chng,821,"$1,002,995 ","472,510","530,485","$10,030 ",SWP
102131,1,M,131,M.S. 131,02M131,Open,2,95.7,40.00%,1,793,0,0,759,759,140,759,0,,,759,TitleI:no chng,759,"$927,251 ","144,942","782,309","$9,273 ",SWP
102150,1,M,150,P.S. 150,02M150,Open,2,8.6,40.00%,0,163,0,0,14,0,1,1,0,,,1,Non-T1:STH only:no chng,1,"$1,222 ",0,"1,222",$12 ,
102151,1,M,151,YORKVILLE COMMUNITY SCHOOL,02M151,Open,2,25,40.00%,0,72,0,91,18,0,0,0,0,,,0,Non-T1:STH only:no chng,0,$0 ,0,0,$0 ,
102158,1,M,158,P.S. 158 BAYARD TAYLOR,02M158,Open,2,20.8,40.00%,0,730,0,0,152,0,4,4,0,,,4,Non-T1:STH only:no chng,4,"$4,887 ",0,"4,887",$49 ,
102167,1,M,167,J.H.S. 167 ROBERT F. WAGNER,02M167,Open,2,43.9,40.00%,1,"1,227",0,0,539,539,38,539,0,UU,,539,TitleI:no chng,539,"$658,483 ","658,483",0,"$6,585 ",SWP
102183,1,M,183,P.S. 183 ROBERT L. STEVENSON,02M183,Open,2,14.6,40.00%,0,645,0,0,94,0,1,1,0,,,1,Non-T1:STH only:no chng,1,"$1,222 ",0,"1,222",$12 ,
102198,1,M,198,P.S. 198 ISADOR E. IDA STRAUS,02M198,Open,2,83,40.00%,1,489,0,0,406,406,24,406,0,,,406,TitleI:no chng,406,"$496,000 ","217,413","278,587","$4,960 ",SWP
102212,1,M,212,P.S. 212 MIDTOWN WEST,02M212,Open,2,30.1,40.00%,0,345,0,0,104,0,1,1,0,,,1,Non-T1:STH only:no chng,1,"$1,222 ",0,"1,222",$12 ,Target
102217,1,M,217,P.S./I.S. 217 ROOSEVELT ISLAND,02M217,Open,2,54.6,40.00%,1,383,0,0,209,209,3,209,0,,A,209,TitleI:no chng,209,"$255,330 ","255,330",0,"$2,553 ",SWP
102225,1,M,225,ELLA BAKER SCHOOL,02M225,Open,2,53.9,40.00%,1,271,0,0,146,146,2,146,0,,,146,TitleI:newT1,146,"$178,365 ","178,365",0,"$1,784 ",SWP
102234,1,M,234,P.S. 234 INDEPENDENCE SCHOOL,02M234,Open,2,7.3,40.00%,0,820,0,0,60,0,2,2,0,,,2,Non-T1:STH only:no chng,2,"$2,443 ",0,"2,443",$24 ,
102255,1,M,255,M.S. 255 SALK SCHOOL OF SCIENCE,02M255,Open,2,16.7,40.00%,0,406,0,0,68,0,1,1,0,,,1,Non-T1:STH only:no chng,1,"$1,222 ",0,"1,222",$12 ,Target
102260,1,M,260,M.S. 260 CLINTON SCHOOL WRITERS & 02M260,,Open,2,31.6,40.00%,0,269,0,0,85,0,0,0,0,,,0,Non-T1:STH only:no chng,0,$0 ,0,0,$0 ,
102276,1,M,276,BATTERY PARK CITY SCHOOL,02M276,Open,2,7.8,40.00%,0,51,0,171,4,0,0,0,0,,,0,Non-T1:STH only:no chng,0,$0 ,0,0,$0 ,
102288,1,M,288,FOOD AND FINANCE HIGH SCHOOL,02M288,Open,2,74.7,40.00%,1,431,0,0,322,322,11,322,0,,,322,TitleI:no chng,322,"$393,379 ","139,144","254,235","$3,934 ",SWP
102289,1,M,289,I.S. 289,02M289,Open,2,46.6,40.00%,1,298,0,0,139,139,3,139,0,,,139,TitleI:no chng,139,"$169,813 ","169,813",0,"$1,698 ",SWP
102290,1,M,290,P.S. 290 MANHATTAN NEW SCHOOL,02M290,Open,2,13.4,40.00%,0,644,0,0,86,0,5,5,0,,,5,Non-T1:STH only:no chng,5,"$6,108 ",0,"6,108",$61 ,
102294,1,M,294,ESSEX STREET ACADEMY,02M294,Open,2,75.6,40.00%,1,349,0,0,264,264,8,264,0,,,264,TitleI:no chng,264,"$322,522 ","98,560","223,962","$3,225 ",SWP
102296,1,M,296,HIGH SCHOOL OF HOSPITALITY MANAG 02M296,,Open,2,68.3,40.00%,1,375,0,0,256,256,10,256,0,,,256,TitleI:no chng,256,"$312,749 ","72,471","240,278","$3,127 ",SWP
102298,1,M,298,PACE HIGH SCHOOL,02M298,Open,2,67,40.00%,1,409,0,0,274,274,12,274,0,,,274,TitleI:no chng,274,"$334,739 ","168,133","166,606","$3,347 ",SWP
102300,1,M,300,URBAN ASSEMBLY SCHOOL OF DESIGN 02M300,,Open,2,83.3,40.00%,1,360,0,0,300,300,5,300,0,,A,300,TitleI:no chng,300,"$366,503 ","63,774","302,729","$3,665 ",SWP
102303,1,M,303,"FACING HISTORY SCHOOL, THE",02M303,Open,2,83.8,40.00%,1,394,0,0,330,330,16,330,0,,,330,TitleI:no chng,330,"$403,153 ","92,763","310,390","$4,032 ",SWP
102305,1,M,305,URBAN ASSEMBLY ACADEMY OF GOVE 02M305,,Open,2,73.4,40.00%,1,278,0,0,204,204,10,204,0,,,204,TitleI:no chng,204,"$249,222 ","89,864","159,358","$2,492 ",SWP
102308,1,M,308,LOWER MANHATTAN ARTS ACADEMY,02M308,Open,2,77,40.00%,1,304,0,0,234,234,5,234,0,,,234,TitleI:no chng,234,"$285,872 ","130,448","155,424","$2,859 ",SWP
102312,1,M,312,NEW YORK CITY LAB MIDDLE SCHOOL F 02M312,,Open,2,33.4,40.00%,0,560,0,0,187,0,4,4,0,,,4,Non-T1:STH only:no chng,4,"$4,887 ",0,"4,887",$49 ,Target
102313,1,M,313,"JAMES BALDWIN SCHOOL, THE: A SCHO 02M313",,Open,2,55.7,40.00%,1,235,0,0,131,131,4,131,0,,A,131,TitleI:no chng,131,"$160,039 ","52,179","107,860","$1,600 ",SWP
102316,1,M,316,URBAN ASSEMBLY SCHOOL OF BUSINES 02M316,,Open,2,86.7,40.00%,1,339,0,0,294,294,8,294,0,,,294,TitleI:no chng,294,"$359,172 ","147,841","211,331","$3,592 ",Target
102347,1,M,347,THE 47 AMERICAN SIGN LANGUAGE &,02M347,Open,2,87,40.00%,1,131,0,0,114,114,12,114,0,,,114,TitleI:no chng,114,"$139,271 ","37,685","101,586","$1,393 ",Target
102374,1,M,374,GRAMERCY ARTS HIGH SCHOOL,02M374,Open,2,66.9,40.00%,1,393,0,0,263,263,20,263,0,,,263,TitleI:no chng,263,"$321,301 ","81,167","240,134","$3,213 ",SWP
102376,1,M,376,NYC ISCHOOL,02M376,Open,2,44.7,40.00%,1,199,0,94,89,89,3,89,42,,,89,TitleI:no chng,131,"$160,039 ","84,066","75,973","$1,600 ",SWP
102392,1,M,392,MANHATTAN BUSINESS ACADEMY,02M392,Open,2,74.6,40.00%,1,122,0,91,91,91,0,91,68,,,91,TitleI:no chng,159,"$194,246 ","75,370","118,876","$1,942 ",SWP
102393,1,M,393,BUSINESS OF SPORTS SCHOOL,02M393,Open,2,83.5,40.00%,1,103,0,108,86,86,3,86,90,UC,,86,TitleI:no chng,176,"$215,015 ","69,572","145,443","$2,150 ",SWP
102394,1,M,394,EMMA LAZARUS HIGH SCHOOL,02M394,Open,2,100,40.00%,1,150,0,138,150,150,15,150,138,,A,150,TitleI:no chng,288,"$351,842 ",0,"351,842","$3,518 ",SWP
102397,1,M,397,SPRUCE STREET SCHOOL,02M397,Open,2,8.3,40.00%,0,48,0,60,4,0,0,0,0,,,0,Non-T1:STH only:no chng,0,$0 ,0,0,$0 ,
102399,1,M,399,THE HIGH SCHOOL FOR LANGUAGE AN 02M399,,Open,2,85,40.00%,1,100,0,74,85,85,9,85,63,,,85,TitleI:no chng,148,"$180,808 ","49,280","131,528","$1,808 ",SWP
102400,1,M,400,HIGH SCHOOL FOR ENVIRONMENTAL S 02M400,,Open,2,55.9,40.00%,1,"1,400",0,0,783,783,16,783,0,,,783,TitleI:no chng,783,"$956,572 ","956,572",0,"$9,566 ",SWP
102407,1,M,407,INSTITUTE FOR COLLABORATIVE EDUCA 02M407,,Open,2,15.4,40.00%,0,481,0,0,74,0,5,5,0,,,5,Non-T1:STH only:no chng,5,"$6,108 ",0,"6,108",$61 ,Target
102408,1,M,408,PROFESSIONAL PERFORMING ARTS HIG 02M408,,Open,2,27.8,40.00%,0,467,0,0,130,0,23,23,0,,,23,Non-T1:STH only:no chng,23,"$28,098 ",0,"28,098",$281 ,
102411,1,M,411,BARUCH COLLEGE CAMPUS HIGH SCHO 02M411,,Open,2,62.2,40.00%,1,439,0,0,273,273,11,273,0,,A,273,TitleI:no chng,273,"$333,517 ","333,517",0,"$3,335 ",SWP
102412,1,M,412,N.Y.C. LAB SCHOOL FOR COLLABORATIV 02M412,,Open,2,23.8,40.00%,0,520,0,0,124,0,0,0,0,,,0,Non-T1:STH only:no chng,0,$0 ,0,0,$0 ,
102413,1,M,413,SCHOOL OF THE FUTURE HIGH SCHOOL 02M413,,Open,2,41.4,40.00%,1,686,0,0,284,284,11,284,0,,,284,TitleI:newT1,284,"$346,956 ","346,956",0,"$3,470 ",SWP
102414,1,M,414,N.Y.C. MUSEUM SCHOOL,02M414,Open,2,47.4,40.00%,1,463,0,0,219,219,3,219,0,UU,,219,TitleI:no chng,219,"$267,547 ","267,547",0,"$2,675 ",SWP
102416,1,M,416,ELEANOR ROOSEVELT HIGH SCHOOL,02M416,Open,2,16.7,40.00%,0,498,0,0,83,0,0,0,0,UC,,0,Non-T1:STH only:no chng,0,$0 ,0,0,$0 ,
102418,1,M,418,MILLENNIUM HIGH SCHOOL,02M418,Open,2,44.8,40.00%,1,619,0,0,277,277,2,277,0,UU,,277,TitleI:no chng,277,"$338,404 ","338,404",0,"$3,384 ",SWP
102419,1,M,419,LANDMARK HIGH SCHOOL,02M419,Open,2,85.1,40.00%,1,430,0,0,366,366,9,366,0,,,366,TitleI:no chng,366,"$447,133 ","115,954","331,179","$4,471 ",SWP
102420,1,M,420,HIGH SCHOOL FOR HEALTH PROFESSIO 02M420,,Open,2,81.4,40.00%,1,"1,671",0,0,"1,360","1,360",13,"1,360",0,UU,,1360,TitleI:no chng,"1,360","$1,661,478 ","649,340","1,012,138","$16,615 ",SWP
102422,1,M,422,QUEST TO LEARN,02M422,Open,2,39.7,40.00%,0,73,0,74,29,0,0,0,0,,,0,Non-T1:STH only:lost T1,0,$0 ,0,0,$0 ,
102425,1,M,425,LEADERSHIP AND PUBLIC SERVICE HIGH 02M425,,Open,2,80.4,40.00%,1,642,0,0,516,516,8,516,0,,,516,TitleI:no chng,516,"$630,384 ","40,584","589,800","$6,304 ",SWP
102429,1,M,429,LEGACY SCHOOL FOR INTEGRATED STU 02M429,,Open,2,86.5,40.00%,1,377,0,0,326,326,12,326,0,,,326,TitleI:no chng,326,"$398,266 ","43,483","354,783","$3,983 ",SWP
102439,1,M,439,MANHATTAN VILLAGE ACADEMY,02M439,Open,2,79.1,40.00%,1,449,0,0,355,355,2,355,0,,,355,TitleI:no chng,355,"$433,695 ","237,705","195,990","$4,337 ",SWP
102440,1,M,440,BAYARD RUSTIN EDUCATIONAL COMPL 02M440,,Open,2,73.4,40.00%,1,958,0,0,703,703,47,703,0,,,703,TitleI:no chng,703,"$858,838 ","121,751","737,087","$8,588 ",SWP
102442,1,M,442,"BALLET TECH, NYC PUBLIC SCHOOL FOR 02M442",,Open,2,61.1,40.00%,1,144,0,0,88,88,2,88,0,,A,88,TitleI:no chng,88,"$107,507 ","107,507",0,"$1,075 ",SWP
102449,1,M,449,VANGUARD HIGH SCHOOL,02M449,Open,2,79.7,40.00%,1,419,0,0,334,334,18,334,0,,,334,TitleI:no chng,334,"$408,039 ","133,347","274,692","$4,080 ",SWP
102459,1,M,459,MANHATTAN INTERNATIONAL HIGH SC 02M459,,Open,2,90.5,40.00%,1,305,0,0,276,276,18,276,0,,,276,TitleI:no chng,276,"$337,182 ","86,965","250,217","$3,372 ",SWP
102460,1,M,460,WASHINGTON IRVING HIGH SCHOOL,02M460,Open,2,65.8,40.00%,1,"1,449",0,0,953,953,52,953,0,,,953,TitleI:no chng,953,"$1,164,256 ","142,043","1,022,213","$11,643 ",SWP
102475,1,M,475,STUYVESANT HIGH SCHOOL,02M475,Open,2,41.3,40.00%,1,"3,275",0,0,"1,353","1,353",1,"1,353",0,,,1353,TitleI:newT1,"1,353","$1,652,927 ","1,652,927",0,"$16,529 ",SWP
102489,1,M,489,HIGH SCHOOL OF ECONOMICS AND FIN 02M489,,Open,2,72.5,40.00%,1,810,0,0,587,587,7,587,0,UU,,587,TitleI:no chng,587,"$717,123 ","275,390","441,733","$7,171 ",SWP
102500,1,M,500,UNITY CENTER FOR URBAN TECHNOLO 02M500,,Open,2,96,40.00%,1,226,0,0,217,217,15,217,0,,,217,TitleI:no chng,217,"$265,103 ","14,494","250,609","$2,651 ",SWP
102519,1,M,519,TALENT UNLIMITED HIGH SCHOOL,02M519,Open,2,50,40.00%,1,416,0,0,208,208,11,208,0,,,208,TitleI:no chng,208,"$254,108 ","254,108",0,"$2,541 ",SWP
102520,1,M,520,MURRY BERGTRAUM HIGH SCHOOL FO 02M520,,Open,2,68.4,40.00%,1,"2,510",0,0,"1,717","1,717",69,"1,717",0,,,1717,TitleI:no chng,"1,717","$2,097,616 ","385,545","1,712,071","$20,976 ",SWP
102529,1,M,529,JACQUELINE KENNEDY ONASSIS HIGH S 02M529,,Open,2,76.6,40.00%,1,691,0,0,529,529,15,529,0,,,529,TitleI:no chng,529,"$646,266 ","162,335","483,931","$6,463 ",SWP
102531,1,M,531,REPERTORY COMPANY HIGH SCHOOL F 02M531,,Open,2,79.1,40.00%,1,215,0,0,170,170,9,170,0,,,170,TitleI:no chng,170,"$207,685 ","110,156","97,529","$2,077 ",SWP
102542,1,M,542,MANHATTAN BRIDGES HIGH SCHOOL,02M542,Open,2,93.8,40.00%,1,507,0,0,476,476,33,476,0,UU,,476,TitleI:no chng,476,"$581,517 ","153,638","427,879","$5,815 ",SWP
102543,1,M,543,NEW DESIGN HIGH SCHOOL,02M543,Open,2,77.9,40.00%,1,398,0,0,310,310,11,310,0,,,310,TitleI:no chng,310,"$378,719 ","136,245","242,474","$3,787 ",SWP
102544,1,M,544,INDEPENDENCE HIGH SCHOOL,02M544,Open,2,79.1,40.00%,1,426,0,0,337,337,6,337,0,,,337,TitleI:no chng,337,"$411,705 ","118,852","292,853","$4,117 ",SWP
102545,1,M,545,HIGH SCHOOL FOR DUAL LANGUAGE A 02M545,,Open,2,91.3,40.00%,1,322,0,0,294,294,12,294,0,UU,,294,TitleI:no chng,294,"$359,172 ","81,167","278,005","$3,592 ",SWP
102550,1,M,550,LIBERTY HIGH SCHOOL ACADEMY FOR N02M550,,Open,2,94.9,40.00%,1,418,0,0,397,397,37,397,0,UU,,397,TitleI:no chng,397,"$485,005 ","188,424","296,581","$4,850 ",SWP
102560,1,M,560,HIGH SCHOOL M560 - CITY AS SCHOOL,02M560,Open,2,50,40.00%,1,692,0,0,346,346,7,346,0,,,346,TitleI:no chng,346,"$422,700 ","422,700",0,"$4,227 ",SWP
102565,1,M,565,URBAN ACADEMY LABORATORY HIGH S 02M565,,Open,2,45.5,40.00%,1,145,0,0,66,66,3,66,0,,,66,TitleI:no chng,66,"$80,631 ","80,631",0,$806 ,SWP
102570,1,M,570,SATELLITE ACADEMY HIGH SCHOOL*,02M570,Open,2,81.4,40.00%,1,830,270,0,183,183,35,183,0,,,183,TitleI:no chng,183,"$223,567 ","86,965","136,602","$2,236 ",SWP
101458,1,M,458,Satellite Academy HS @ Forsythe St.,01M458,New,1,81.4,40.00%,1,0,236,0,160,160,0,160,0,,,160,TitleI:no chng,160,"$195,468 ","40,584","154,884","$1,955 ",SWP
212446,2,X,446,Satellite Academy HS @ Bronx Regiona,12X446,New,12,81.4,40.00%,1,0,250,0,170,170,0,170,0,,,170,TitleI:no chng,170,"$242,205 ","71,359","170,846","$2,422 ",SWP
